Name,Location
Pandora Jarvis,Towers 276
Tamala Lapchak,CNS 265
Cherly Marcantonio,Gannett 592
Louann Challice,Towers 348
Nelida Starkes,Williams 762
Harmony Pickens,Towers 86
Chun Ozyetis,Job 341
Yan Hammond,Campus Center 126
Krystal Pierret,Gannett 282
Daria Monforton,Cerrache 807
Britt Racine,Textor 649
Tomiko Devreeze,Gannett 598
Billi Beneda,CNS 157
Enriqueta Chilibeck,Park 913
Louella Cuper,Job 477
Charolette Chima,Park 614
Marcus Hawes,Park 773
Candyce Fischetti,Park 636
Lamar Crucefix,Park 1
Eldora Lecours,Towers 803
Leann Mundy,Campus Center 648
Shameka Katz,Job 456
Juan Seeler,Williams 814
Zita Nhan,Park 349
Karl Oreffice,Job 466
Larita Wracher,Job 128
Emmett Valenziano,Towers 553
Tiffany Harrawood,Gannett 548
Lin Lambregts,Park 859
Deidra Subasinghe,CNS 890
Errol Chocs,Williams 953
Kaylee Leggett,Park 938
Lilliam Mccarthy,CNS 236
Laveta Agarwal,Gannett 191
Izetta Ducharme,Williams 644
Jenna Hewitt,Job 732
Ann Bopp,Williams 163
Gavin Willcock,Job 510
Mika Tauscher,Gannett 415
Gilma Weger,CNS 145
Susanne Gadsby,Park 412
Glendora Martincello,Gannett 854
Priscilla Van,Job 530
Amelia Contomichalos,Towers 237
Elvis Blythe,Campus Center 562
Shavonne Lao,Williams 402
Jenine Farley,Campus Center 222
Jim Rider,Textor 726
Vanessa Dunn,Cerrache 838
Danae Younkin,Gannett 216
Ima Dominguez,Towers 437
Mariela Hilla,Towers 805
Gayle Enos,Textor 706
Rosario Garcia,Textor 594
Shenika Cronkright,Towers 812
Elaine Wease,Towers 821
Asuncion Halley,Textor 748
Darla Sist,Cerrache 922
Lin Swinburne,Textor 474
Mae Southworth,Textor 708
Herman Bennett,Campus Center 142
Sarita Batson,Gannett 170
Glady Cohrs,CNS 860
Eli Leitrick,Park 225
Jeniffer Gaul,Job 356
Maryland Kilzer,Towers 868
Queenie Cassidy,Gannett 324
Enriqueta Rosser,Cerrache 870
Laronda Kapuscinski,CNS 125
Johnsie Parmar,Gannett 777
Lavelle Leonida,Park 405
Carlton Horowitz,Williams 978
Shirley Valia,Campus Center 229
Violet Crafton,Textor 378
Tyree Ptefs,Campus Center 892
Ursula Reddy,CNS 850
Roxann Dinges,Cerrache 702
Dannette Portigal,Cerrache 249
Griselda Izzo,Cerrache 787
Reena Jiang,Textor 835
Socorro Morey,Towers 148
Maira Dalton,Park 704
Jenice Wieland,Job 523
Beth Seetharaman,Job 173
Araceli Galanakis,Gannett 631
Brittanie Timms,CNS 888
Giovanni Haverkamp,Cerrache 950
Pedro Hachey,Towers 312
Vannesa Bmethods,Gannett 715
Latanya Leibowitz,Textor 314
Marilynn Terneus,Park 165
Vanita Lingafelter,Park 936
Lyle Feil,CNS 444
Wynell Fisprod,Campus Center 154
Melody Andrews,Towers 3
Peg Kwissa,Cerrache 88
Larraine Adams,Gannett 136
Jerica Oziemblo,Job 416
Tashia Sealy,Williams 274
Deanna Davies,Park 532
Ikrom Numonov,Terrace 111
